vehicle_id,driver_id,vehicle_model,vehicle_year,engine_cc,transmission_type,odometer_km,last_service_km,current_mileage,daily_distance_km,city_driving_percent,highway_driving_percent,driving_style,ac_usage_percent,fuel_price,fuel_type_before,e20_usage_percent,temperature,traffic_level,region,e20_mileage,user_reported_e20_mileage
VH15407,DR15407,Hyundai Creta,2026,2184,Automatic,500,2167,15.68,51.4,53,47,Aggressive,49,104.29,Petrol (E0),69,25,Low,Delhi,15.14,15.1
VH15408,DR15408,Mahindra XUV300,2026,1498,Manual,500,1867,15.57,29.8,75,25,Aggressive,66,108.37,E10 Blend,90,35,Medium,Maharashtra,15.03,15.3
VH15409,DR15409,MG Astor,2023,2179,Automatic,35946,9219,11.95,27.5,59,41,Aggressive,82,115.9,E10 Blend,48,44,Low,Rajasthan,11.07,10.7
VH15410,DR15410,Hyundai i20,2024,999,Automatic,13238,76,22.56,21.7,58,42,Calm,80,102.68,Petrol (E0),18,26,Medium,Punjab,22.56,22.3
VH15411,DR15411,Maruti Suzuki Celerio,2026,1000,Manual,500,3292,20.51,69.2,35,65,Aggressive,82,100.96,Petrol (E0),52,35,Medium,Gujarat,19.19,18.9
VH15412,DR15412,Hyundai Grand i10 Nios,2018,1197,Manual,70080,5260,17.12,42.5,52,48,Moderate,53,102.64,E10 Blend,75,25,High,Delhi,16.78,16.4
VH15413,DR15413,Tata Tiago,2013,1000,Automatic,126042,2862,20.82,36.8,54,46,Calm,47,102.05,Petrol (E0),72,26,Low,Gujarat,19.93,20.4
VH15414,DR15414,MG Astor,2025,2198,Manual,8272,3174,17.34,5,72,28,Calm,67,98.13,E10 Blend,56,33,Medium,Uttar Pradesh,16.98,16.3
VH15415,DR15415,Hyundai Creta,2014,1462,Automatic,114361,829,16.25,50.3,44,56,Moderate,96,101.37,Petrol (E0),52,25,Medium,Uttar Pradesh,16.17,16.2
VH15416,DR15416,Maruti Suzuki Alto K10,2023,1197,Automatic,28946,4737,17.2,42.6,75,25,Aggressive,82,107.41,Petrol (E0),23,30,Low,Maharashtra,17.03,16.2
VH15417,DR15417,Maruti Suzuki Ertiga,2012,2179,Automatic,129767,284,11.39,22.1,100,0,Moderate,46,103.27,Petrol (E0),21,36,Low,Uttar Pradesh,11.12,11.3
VH15418,DR15418,Tata Nexon,2013,1497,Manual,127793,9500,12.98,11.4,81,19,Aggressive,56,110.31,E10 Blend,3,32,Medium,Tamil Nadu,12.98,12.98
VH15419,DR15419,Kia Sonet,2023,1498,Automatic,26494,2257,20.38,35,64,36,Calm,93,111.82,E10 Blend,14,27,Low,Kerala,20.38,20.3
VH15420,DR15420,Skoda Kushaq,2018,1373,Manual,78977,212,18.27,16.2,23,77,Moderate,71,102.13,Petrol (E0),39,28,High,Uttar Pradesh,17.81,17.9
VH15421,DR15421,Renault Kwid,2026,999,Manual,500,9500,22.34,21.7,43,57,Moderate,58,116.89,E10 Blend,48,38,Medium,Madhya Pradesh,21.38,21.1
VH15422,DR15422,Tata Altroz,2018,1451,Manual,83551,1148,14.58,14.1,64,36,Aggressive,61,113.79,E10 Blend,38,27,Medium,West Bengal,13.97,14.1
VH15423,DR15423,Maruti Suzuki Alto K10,2026,1197,Manual,500,8976,19.38,34.4,75,25,Moderate,70,102.96,Petrol (E0),34,30,Medium,Chhattisgarh,18.73,19.2
VH15424,DR15424,Mahindra Bolero,2023,1497,Automatic,21154,6103,15.43,13,69,31,Aggressive,55,100.07,Petrol (E0),61,30,Medium,Gujarat,14.15,13.9
VH15425,DR15425,Datsun redi-GO,2025,1197,Automatic,11389,1560,23.4,48.7,45,55,Calm,42,106.65,E10 Blend,82,30,Medium,Tamil Nadu,22.03,22.1
VH15426,DR15426,Hyundai Verna,2026,1197,Manual,500,4641,18.61,31.5,42,58,Moderate,77,103.24,E10 Blend,79,9,High,Uttar Pradesh,17.27,17.1
VH15427,DR15427,Maruti Suzuki Alto K10,2010,1000,Automatic,158221,7023,16.29,27.4,63,37,Moderate,19,115.71,E10 Blend,62,28,Medium,Madhya Pradesh,15.45,15.3
VH15428,DR15428,Toyota Fortuner,2016,1462,Manual,98753,9089,17.64,59.6,64,36,Moderate,65,110.85,Petrol (E0),38,34,Low,Odisha,17.45,17.4
VH15429,DR15429,Hyundai Venue,2010,1199,Automatic,149492,765,19.08,5.6,52,48,Calm,40,100.75,E10 Blend,47,30,Low,Punjab,17.73,17.3
VH15430,DR15430,Toyota Glanza,2013,1197,Automatic,125223,3118,18.62,23.2,49,51,Calm,73,112.33,E10 Blend,46,22,Low,West Bengal,17.64,16.7
VH15431,DR15431,Hyundai Aura,2012,999,Manual,132928,3439,17.68,28.3,54,46,Moderate,70,101.66,Petrol (E0),53,13,Medium,Uttar Pradesh,16.94,16.7
VH15432,DR15432,Maruti Suzuki Fronx,2010,1451,Manual,154202,4894,13,19.6,84,16,Moderate,66,104.5,E10 Blend,66,9,Medium,Punjab,12.6,12.7
VH15433,DR15433,Renault Triber,2020,1451,Manual,46116,76,17.6,24.1,53,47,Moderate,45,112.87,E10 Blend,52,31,High,Rajasthan,16.96,16.9
VH15434,DR15434,Mahindra XUV700,2023,1497,Manual,29202,5798,21.67,12.9,18,82,Calm,46,112.84,E10 Blend,86,25,High,Maharashtra,20.17,20
VH15435,DR15435,Maruti Suzuki Baleno,2012,1199,Manual,133624,9500,18.08,45.7,36,64,Moderate,74,110.6,Petrol (E0),44,27,Low,Maharashtra,17.59,17.7
VH15436,DR15436,Maruti Suzuki Dzire,2013,1451,Automatic,124726,1616,13.19,47,55,45,Aggressive,50,99.46,Petrol (E0),30,26,Medium,Assam,12.42,12.4
VH15437,DR15437,Toyota Fortuner,2017,2198,Manual,82585,86,11.43,52.7,39,61,Aggressive,78,107.95,Petrol (E0),32,23,High,Maharashtra,10.69,10
VH15438,DR15438,Mahindra Scorpio-N,2010,2694,Automatic,154994,2675,8.78,22.5,47,53,Aggressive,48,103.52,E10 Blend,7,34,Low,Chhattisgarh,8.53,8.3
VH15439,DR15439,Toyota Urban Cruiser Hyryder,2012,2179,Manual,135052,1488,17.77,9.3,36,64,Calm,43,110.47,Petrol (E0),24,33,Low,Rajasthan,17.15,17.1
VH15440,DR15440,Mahindra Bolero Neo,2018,1462,Manual,69860,1137,16.6,46,64,36,Moderate,29,109.5,E10 Blend,10,33,High,West Bengal,16.56,16.3
VH15441,DR15441,Hyundai Grand i10 Nios,2021,999,Automatic,45843,5556,20.85,22.1,76,24,Calm,27,113.02,Petrol (E0),52,24,High,Karnataka,20.44,19.7
VH15442,DR15442,Hyundai Venue,2021,1451,Manual,43319,831,20.71,12.7,47,53,Calm,81,110.61,Petrol (E0),59,32,Medium,Karnataka,20.38,20.3
VH15443,DR15443,Maruti Suzuki Ertiga,2026,2755,Manual,2932,4065,13.8,32.5,46,54,Calm,80,111.09,Petrol (E0),85,26,High,Karnataka,13.64,12.8
VH15444,DR15444,Kia Sonet,2016,1199,Manual,92588,4354,16.15,5.9,62,38,Moderate,67,103.35,Petrol (E0),45,30,High,Assam,15.64,15.7
VH15445,DR15445,Tata Tiago,2013,998,Manual,117444,3981,16.39,32.9,76,24,Moderate,62,102.53,Petrol (E0),52,24,Medium,Assam,16.39,16.39
VH15446,DR15446,Hyundai Alcazar,2011,2755,Manual,137511,1649,8,5,66,34,Aggressive,84,107.03,Petrol (E0),54,36,High,Tamil Nadu,7.88,8
VH15447,DR15447,Mahindra Thar,2010,2198,Manual,149989,280,15.91,36.6,25,75,Calm,49,101.47,Petrol (E0),71,31,Medium,Assam,15.07,14.8
VH15448,DR15448,Hyundai Grand i10 Nios,2017,1000,Manual,90520,9500,14.17,41.6,69,31,Aggressive,53,110.52,Petrol (E0),36,43,High,Rajasthan,13.32,12.6
VH15449,DR15449,Mahindra Marazzo,2018,2179,Automatic,78785,2039,10.83,10.7,93,7,Moderate,68,103.84,Petrol (E0),72,34,High,Gujarat,9.57,9.3
VH15450,DR15450,Maruti Suzuki Baleno,2013,1198,Automatic,121875,2677,16.88,15.7,56,44,Moderate,45,110.1,E10 Blend,76,30,Medium,Maharashtra,15.85,15.4
VH15451,DR15451,Maruti Suzuki Celerio,2012,799,Automatic,125645,2578,17.3,51.1,60,40,Moderate,86,105,Petrol (E0),36,31,Medium,Gujarat,16.83,17
VH15452,DR15452,Mahindra Scorpio-N,2021,1498,Automatic,45481,3192,19.21,20.8,66,34,Calm,62,112.73,Petrol (E0),65,25,Medium,Maharashtra,18.75,18.3
VH15453,DR15453,Tata Nexon,2016,1197,Automatic,92763,5571,18.57,27.8,24,76,Moderate,24,112.11,Petrol (E0),1,29,Medium,Karnataka,18.15,18.2
VH15454,DR15454,Maruti Suzuki Ignis,2018,998,Manual,85487,6888,21.21,25.4,28,72,Calm,81,107.71,Petrol (E0),67,25,Medium,Tamil Nadu,20.47,20.8
VH15455,DR15455,Maruti Suzuki Eeco,2011,999,Manual,137011,3741,19.62,13.5,44,56,Calm,74,109.5,E10 Blend,42,29,Low,West Bengal,18.85,18.4
VH15456,DR15456,Hyundai Grand i10 Nios,2016,799,Manual,95303,1051,17.81,20.7,66,34,Aggressive,56,111.46,E10 Blend,71,25,Medium,Maharashtra,17.03,16.8
VH15457,DR15457,Honda WR-V,2026,1199,Manual,500,893,22.06,20,42,58,Moderate,86,116.56,Petrol (E0),17,24,Medium,Rajasthan,22.06,20.9
VH15458,DR15458,Tata Tiago,2019,999,Manual,66981,289,19.8,41.3,61,39,Moderate,22,102.23,E10 Blend,60,30,High,Uttar Pradesh,19.1,19.3
VH15459,DR15459,Volkswagen Virtus,2026,1199,Manual,1563,9500,20.05,28.1,79,21,Moderate,72,107.34,Petrol (E0),43,25,Medium,Maharashtra,19.15,19.2
VH15460,DR15460,Hyundai Creta,2024,1997,Manual,10495,1069,17.74,32.1,64,36,Moderate,34,100.7,E10 Blend,33,23,Medium,Uttar Pradesh,17.17,16.9
VH15461,DR15461,Hyundai Alcazar,2022,2179,Manual,36250,2343,13.68,43.8,63,37,Aggressive,62,111.8,E10 Blend,26,24,Medium,Maharashtra,13.39,13.68
VH15462,DR15462,Maruti Suzuki Dzire,2012,1451,Manual,131855,675,16.44,30.7,54,46,Calm,39,110.3,E10 Blend,73,27,High,Maharashtra,15.06,14.8
VH15463,DR15463,Maruti Suzuki Celerio,2017,799,Manual,89962,821,20.05,31.7,43,57,Moderate,66,115.12,Petrol (E0),51,16,High,Madhya Pradesh,19.19,19.6
VH15464,DR15464,Tata Nexon,2021,1248,Manual,46157,5356,22.1,67.6,56,44,Calm,43,99.07,E10 Blend,8,21,Medium,Uttar Pradesh,22.1,22.1
VH15465,DR15465,Maruti Suzuki Celerio,2013,1000,Automatic,124198,1506,17.16,5,62,38,Moderate,75,110.52,Petrol (E0),32,35,Medium,Maharashtra,16.33,16.7
VH15466,DR15466,Maruti Suzuki Eeco,2022,799,Automatic,33251,3256,24.48,38.1,68,32,Calm,13,115.19,Petrol (E0),54,37,Low,Madhya Pradesh,24.02,23.7
VH15467,DR15467,Tata Punch,2014,799,Manual,105339,3652,18.28,35,94,6,Moderate,84,116.3,E10 Blend,18,38,Medium,Madhya Pradesh,17.94,18.1
VH15468,DR15468,Honda City,2019,1497,Automatic,62961,707,16.64,30.2,66,34,Moderate,33,108.5,Petrol (E0),77,24,High,Bihar,15.14,13.7
VH15469,DR15469,Maruti Suzuki Fronx,2013,1451,Manual,119742,704,14.2,25.8,70,30,Aggressive,63,107.21,Petrol (E0),24,32,Medium,Odisha,13.9,13
VH15470,DR15470,Hyundai Exter,2011,1197,Automatic,144991,8316,13.72,22.7,54,46,Moderate,51,100.64,E10 Blend,53,30,High,Gujarat,13.57,13.5
VH15471,DR15471,Hyundai Verna,2020,1199,Manual,62973,50,21.04,34.3,33,67,Moderate,28,94.07,E10 Blend,77,16,Low,Uttarakhand,19.91,19.5
VH15472,DR15472,Skoda Slavia,2023,1497,Manual,24681,633,16.07,5.4,67,33,Aggressive,58,114.9,Petrol (E0),20,40,Medium,Madhya Pradesh,15.5,15.8
VH15473,DR15473,Mahindra Scorpio-N,2015,2694,Automatic,107373,78,12.56,35.2,46,54,Calm,57,118,E10 Blend,41,34,High,Rajasthan,12.56,12.56
VH15474,DR15474,Maruti Suzuki Brezza,2020,1373,Manual,53035,273,17.66,42.6,100,0,Moderate,86,106.04,Petrol (E0),55,26,Medium,Tamil Nadu,16.34,16.2
VH15475,DR15475,Hyundai Verna,2015,1498,Manual,103817,4296,15.73,5,51,49,Aggressive,31,109.95,E10 Blend,34,27,Medium,Karnataka,15.72,15.7
VH15476,DR15476,Maruti Suzuki Fronx,2019,1498,Automatic,73990,1784,19.29,28.1,32,68,Calm,67,115.14,Petrol (E0),76,27,Medium,Madhya Pradesh,18.59,18.9
VH15477,DR15477,Toyota Rumion,2022,1498,Manual,35247,464,18.61,5,51,49,Moderate,58,108.16,Petrol (E0),66,29,High,Odisha,18.31,18.6
VH15478,DR15478,Mahindra Bolero,2021,1997,Manual,50760,2541,16.1,22,54,46,Moderate,85,106.09,E10 Blend,33,29,Low,Bihar,15.25,14.2
VH15479,DR15479,Hyundai Exter,2014,1373,Manual,113720,2550,15.48,28.6,59,41,Moderate,58,102.91,Petrol (E0),22,25,High,Delhi,15.32,14.9
VH15480,DR15480,Honda Amaze,2019,1373,Manual,68002,345,15.87,21.1,48,52,Aggressive,85,99.64,Petrol (E0),78,31,Medium,Uttar Pradesh,15.57,14.7
VH15481,DR15481,Hyundai Venue,2024,1451,Automatic,18279,9500,19.93,27,55,45,Moderate,56,98.91,Petrol (E0),19,11,Low,Delhi,19.92,19.8
VH15482,DR15482,MG Hector,2023,1497,Automatic,24569,2051,19.83,23.9,63,37,Calm,81,100.04,Petrol (E0),21,36,Medium,Uttar Pradesh,19.75,19.8
VH15483,DR15483,Maruti Suzuki XL6,2022,1451,Manual,32157,3634,16.76,14.6,46,54,Aggressive,68,100.27,Petrol (E0),33,37,Medium,Uttar Pradesh,16.76,16.76
VH15484,DR15484,Maruti Suzuki Baleno,2020,1451,Manual,56306,2751,18.84,30.2,50,50,Calm,56,104.24,E10 Blend,81,16,High,Uttar Pradesh,18.43,18.8
VH15485,DR15485,Maruti Suzuki Celerio,2013,1197,Manual,126839,1584,16.73,22.7,40,60,Aggressive,57,114.32,E10 Blend,57,27,Low,Rajasthan,16.73,16.7
VH15486,DR15486,Maruti Suzuki WagonR,2021,1197,Automatic,46045,5762,21.11,34.3,59,41,Calm,72,115.7,Petrol (E0),3,24,Low,Karnataka,21.11,21.1
VH15487,DR15487,Mahindra XUV300,2023,1451,Manual,28169,2487,20.94,31.6,59,41,Calm,64,108.65,Petrol (E0),72,30,Medium,Tamil Nadu,20.43,20.1
VH15488,DR15488,Tata Tiago,2011,1197,Automatic,143528,4824,16.89,6.8,69,31,Calm,15,110,E10 Blend,24,17,High,Rajasthan,16.7,16.5
VH15489,DR15489,Maruti Suzuki Dzire,2020,1451,Manual,58085,3810,17.38,21.5,36,64,Moderate,72,100.36,E10 Blend,29,31,High,Uttar Pradesh,17.38,17.2
VH15490,DR15490,Toyota Innova Crysta,2018,1997,Manual,82868,1513,15.83,53.4,73,27,Moderate,66,98.43,E10 Blend,45,4,Medium,Punjab,15.37,15.5
VH15491,DR15491,Honda WR-V,2026,1498,Automatic,500,1372,15.87,39.6,58,42,Aggressive,28,114,Petrol (E0),29,37,Medium,West Bengal,15.4,15.1
VH15492,DR15492,Honda Amaze,2014,1497,Manual,118731,2800,19.99,61.1,63,37,Calm,24,114.08,Petrol (E0),75,30,Low,Karnataka,19.45,19.3
VH15493,DR15493,Toyota Urban Cruiser Hyryder,2017,1497,Manual,87054,778,18.3,5,62,38,Calm,77,101.46,Petrol (E0),68,31,Medium,Delhi,18.3,17.5
VH15494,DR15494,Maruti Suzuki Dzire,2018,1497,Automatic,73079,1132,19.18,40.7,80,20,Calm,67,108.93,E10 Blend,92,31,Low,Karnataka,18.15,18.2
VH15495,DR15495,Maruti Suzuki XL6,2012,1373,Manual,131275,1231,16.5,25.6,41,59,Moderate,60,101.53,Petrol (E0),22,27,Medium,Uttar Pradesh,16.13,15
VH15496,DR15496,Toyota Fortuner,2016,2184,Manual,91977,1058,14.57,48.4,63,37,Moderate,52,107.67,E10 Blend,94,24,Medium,Maharashtra,13.7,13.7
VH15497,DR15497,Toyota Innova Crysta,2025,2198,Manual,9865,2838,21.46,38.6,47,53,Calm,34,101.86,E10 Blend,52,21,Low,Punjab,21.19,21.3
VH15498,DR15498,Maruti Suzuki Baleno,2024,1497,Automatic,18998,457,18.48,31.7,87,13,Moderate,79,107.35,E10 Blend,20,27,Low,Maharashtra,18.29,18.4
VH15499,DR15499,Toyota Urban Cruiser Hyryder,2021,2393,Automatic,52691,856,15.03,38.2,56,44,Moderate,53,105.49,E10 Blend,83,30,Medium,Tamil Nadu,14.22,13.5
VH15500,DR15500,Toyota Fortuner,2024,2982,Manual,17792,1140,13.46,21.3,37,63,Moderate,73,113.88,Petrol (E0),70,48,Low,Rajasthan,12.81,12.5
VH15501,DR15501,Maruti Suzuki Brezza,2017,1497,Manual,85560,2383,18.61,80.3,63,37,Calm,66,110.73,Petrol (E0),60,29,High,Kerala,18.28,18.6
VH15502,DR15502,Tata Nexon,2025,1373,Automatic,10064,1000,23.3,52.7,26,74,Calm,45,107.38,Petrol (E0),73,33,Medium,Tamil Nadu,22.94,22.8
VH15503,DR15503,Tata Safari,2010,2982,Manual,149024,61,8,9.4,67,33,Aggressive,69,115.74,Petrol (E0),54,33,Medium,Telangana,8,8
VH15504,DR15504,Hyundai Venue,2021,1197,Manual,49959,5113,23.12,42,34,66,Calm,89,100.98,E10 Blend,55,27,Low,Uttar Pradesh,22.23,22.8
VH15505,DR15505,Maruti Suzuki Fronx,2012,1197,Manual,130824,2504,15.02,39.3,68,32,Aggressive,35,116.01,E10 Blend,17,38,Medium,Telangana,15.02,14.9
VH15506,DR15506,Maruti Suzuki Alto K10,2014,799,Manual,111398,9500,19.79,30.3,29,71,Moderate,20,115.79,E10 Blend,62,25,Medium,West Bengal,18.93,18.3
VH15507,DR15507,Maruti Suzuki Ertiga,2019,1497,Manual,60705,7232,19.71,19.1,33,67,Calm,77,112.34,E10 Blend,27,30,Medium,Maharashtra,19.71,19.5
VH15508,DR15508,Tata Tigor,2011,1451,Automatic,134415,3104,12.39,59.2,62,38,Aggressive,57,99.65,Petrol (E0),59,20,Medium,Gujarat,11.57,10.8
VH15509,DR15509,Hyundai Creta,2013,2694,Manual,122296,9500,12.37,22.7,68,32,Moderate,74,101.78,Petrol (E0),39,29,Medium,Punjab,11.63,11.3
VH15510,DR15510,Maruti Suzuki Celerio,2023,1197,Automatic,28455,478,16.36,16.4,66,34,Moderate,81,117.5,E10 Blend,18,29,High,West Bengal,16.13,15.6
VH15511,DR15511,Maruti Suzuki Ertiga,2023,1997,Manual,28446,1044,17.95,39.9,49,51,Moderate,46,110.32,Petrol (E0),67,20,Medium,Bihar,17.62,17.4
VH15512,DR15512,Tata Safari,2021,2184,Automatic,45157,174,17.26,47,37,63,Moderate,45,106.6,E10 Blend,90,30,Medium,Tamil Nadu,16.04,16.1
VH15513,DR15513,Maruti Suzuki Swift,2018,998,Automatic,79287,50,16.46,10.1,70,30,Aggressive,70,113.7,Petrol (E0),3,29,Low,Karnataka,16.29,16.46
VH15514,DR15514,Maruti Suzuki S-Presso,2017,799,Manual,80698,4585,19.31,9.3,80,20,Moderate,68,103.85,Petrol (E0),78,34,Low,Uttar Pradesh,17.98,18.1
VH15515,DR15515,Maruti Suzuki Eeco,2023,1197,Automatic,25465,5477,18.83,19.6,73,27,Moderate,92,111.7,E10 Blend,44,33,Medium,Telangana,18.62,18.7
VH15516,DR15516,Mahindra Marazzo,2026,2393,Manual,3519,965,17.09,11.4,72,28,Calm,71,112.99,Petrol (E0),50,23,Medium,Karnataka,16.64,16.6
VH15517,DR15517,Mahindra XUV300,2015,1373,Manual,106292,526,15.79,5,44,56,Aggressive,19,103.45,Petrol (E0),15,35,Medium,Uttar Pradesh,15.27,14
VH15518,DR15518,Mahindra XUV300,2023,1373,Manual,29469,3113,20.76,44.7,25,75,Moderate,58,111.6,Petrol (E0),34,25,High,Karnataka,20.11,19.7
VH15519,DR15519,Tata Altroz,2010,1198,Automatic,159041,1353,12.08,20,81,19,Moderate,64,114.57,E10 Blend,73,42,High,West Bengal,11.96,12
VH15520,DR15520,Honda City,2014,1198,Manual,114165,3066,18.19,32,32,68,Moderate,64,101.48,Petrol (E0),37,13,Medium,Uttar Pradesh,17.53,16.5
VH15521,DR15521,Maruti Suzuki Ignis,2022,999,Manual,46180,7002,19.55,44.6,44,56,Moderate,61,113.11,Petrol (E0),31,41,High,Madhya Pradesh,19.18,18.7
VH15522,DR15522,Hyundai Creta,2010,1462,Automatic,150507,9500,15.14,5,40,60,Moderate,61,102.83,Petrol (E0),64,26,Medium,Punjab,13.98,14.3
VH15523,DR15523,Tata Safari,2013,2393,Automatic,127736,4988,8,28.6,46,54,Aggressive,81,100.41,E10 Blend,67,23,High,Uttar Pradesh,8,7.4
VH15524,DR15524,Hyundai Aura,2017,999,Manual,85585,9500,15.95,27.8,60,40,Aggressive,73,109.48,E10 Blend,32,26,Low,Bihar,15.48,15.9
VH15525,DR15525,Toyota Innova Crysta,2012,2179,Manual,133051,2677,13.87,18.5,72,28,Moderate,27,108.22,E10 Blend,38,22,Medium,Tamil Nadu,13.19,12.4
VH15526,DR15526,Hyundai Creta,2017,1498,Manual,90037,1594,19.12,41.4,60,40,Calm,46,103.41,Petrol (E0),42,43,Low,Delhi,18.63,18.5
VH15527,DR15527,Hyundai Creta,2022,1497,Automatic,34777,2398,12.86,43.8,58,42,Aggressive,80,102.06,E10 Blend,82,22,High,Uttar Pradesh,12.45,12.86
VH15528,DR15528,Maruti Suzuki Alto K10,2024,999,Automatic,23865,2843,21.89,38,74,26,Calm,72,110.38,E10 Blend,63,30,Medium,Kerala,20.61,19.8
VH15529,DR15529,Toyota Urban Cruiser Hyryder,2015,2393,Manual,99986,492,8.52,42.5,65,35,Aggressive,64,107.69,E10 Blend,78,29,High,Tamil Nadu,7.74,7.6
VH15530,DR15530,Honda City,2010,1198,Manual,147515,1804,17.51,25.9,59,41,Calm,78,100.52,E10 Blend,46,21,Medium,Delhi,16.96,17.5
VH15531,DR15531,Mahindra Thar,2012,1997,Manual,141779,105,11.99,32.7,56,44,Aggressive,43,108.39,Petrol (E0),12,28,Medium,Bihar,11.7,11.1
VH15532,DR15532,Tata Harrier,2016,2755,Manual,97783,1498,12.09,44.6,69,31,Moderate,46,100.02,Petrol (E0),48,20,Medium,Delhi,11.56,12
VH15533,DR15533,Tata Tigor,2011,1373,Automatic,148159,970,15.07,5,38,62,Moderate,41,112.87,E10 Blend,28,34,Medium,Karnataka,14.61,14.2
VH15534,DR15534,Maruti Suzuki Celerio,2010,799,Manual,152557,8241,20.46,76.3,23,77,Moderate,50,111.47,E10 Blend,50,21,Medium,Maharashtra,19.76,20.2
VH15535,DR15535,Mahindra XUV300,2025,1248,Automatic,3197,1595,23.63,30.9,59,41,Calm,53,99.56,E10 Blend,60,22,Low,Uttar Pradesh,23.24,22.9
VH15536,DR15536,Tata Safari,2023,1498,Manual,27281,2487,14.9,34.4,67,33,Aggressive,71,114.23,Petrol (E0),43,37,High,West Bengal,14.42,13.8
VH15537,DR15537,Hyundai Alcazar,2010,1498,Manual,157851,1819,13.44,33.1,77,23,Moderate,64,108.56,Petrol (E0),32,31,High,Bihar,13.18,12.6
VH15538,DR15538,Toyota Innova Crysta,2025,2393,Manual,5707,2901,16.98,36,68,32,Calm,55,113.7,Petrol (E0),10,28,Medium,Telangana,16.98,16.2
VH15539,DR15539,Kia Sonet,2021,1248,Manual,50138,4672,19.38,13.5,40,60,Moderate,57,103.87,E10 Blend,84,30,Medium,Bihar,18.13,18.9
VH15540,DR15540,Maruti Suzuki Alto K10,2013,1000,Automatic,124200,8466,14.63,60.5,61,39,Aggressive,83,107.76,Petrol (E0),80,33,Low,Maharashtra,14,13.9
VH15541,DR15541,Tata Tiago,2011,1000,Manual,155874,4448,18.17,36.3,59,41,Moderate,63,102.1,Petrol (E0),25,43,Medium,Uttar Pradesh,18.17,17.7
VH15542,DR15542,Maruti Suzuki Alto K10,2026,1197,Automatic,500,198,21.01,42.1,43,57,Moderate,83,117.64,E10 Blend,14,30,Low,Madhya Pradesh,21.01,21
VH15543,DR15543,Maruti Suzuki Ertiga,2012,1956,Manual,130179,4952,15.36,42.2,99,1,Calm,52,107.22,E10 Blend,78,30,Medium,Maharashtra,14.59,14.6
VH15544,DR15544,Honda City,2014,1197,Manual,110833,183,15.5,38.5,56,44,Aggressive,49,100.46,Petrol (E0),28,27,Medium,Delhi,15.47,14.9
VH15545,DR15545,MG Hector,2013,2184,Manual,128416,6896,11.23,34.7,41,59,Moderate,56,96.51,E10 Blend,25,18,High,Uttarakhand,11.23,11.2
VH15546,DR15546,Maruti Suzuki Dzire,2017,1198,Automatic,81269,2145,19.81,40.7,57,43,Calm,26,111.11,E10 Blend,25,20,Medium,West Bengal,19.7,19.6
VH15547,DR15547,Maruti Suzuki Dzire,2021,1373,Manual,45483,2317,21.58,26.8,36,64,Calm,83,101.01,E10 Blend,21,22,Low,Uttar Pradesh,21.37,21.3
VH15548,DR15548,Hyundai Venue,2010,1497,Automatic,149706,3176,15.98,50.4,74,26,Calm,28,110.2,E10 Blend,36,29,Medium,Maharashtra,15.76,15.4
VH15549,DR15549,Maruti Suzuki XL6,2026,1198,Manual,500,959,18.32,17,36,64,Aggressive,79,111.4,E10 Blend,65,18,Medium,Madhya Pradesh,17.56,17.6
VH15550,DR15550,Toyota Glanza,2019,998,Manual,68739,4254,20.37,21.6,42,58,Moderate,45,102.5,E10 Blend,58,30,Medium,Uttar Pradesh,19.07,18.6
VH15551,DR15551,Mahindra Scorpio-N,2021,1462,Manual,42661,9500,13.86,24.5,68,32,Aggressive,49,116.72,Petrol (E0),26,25,High,Madhya Pradesh,13.35,13.3
VH15552,DR15552,Mahindra Marazzo,2012,1497,Manual,132045,982,16.98,27,38,62,Moderate,42,112.09,E10 Blend,53,26,High,Maharashtra,16.3,16.98
VH15553,DR15553,Maruti Suzuki Brezza,2021,1198,Manual,48445,80,18.53,29,62,38,Moderate,54,116.31,E10 Blend,95,30,Medium,Madhya Pradesh,17.91,17.6
VH15554,DR15554,Maruti Suzuki Ignis,2024,998,Manual,17328,8212,23.86,45.9,31,69,Calm,66,99.93,E10 Blend,58,21,Medium,Gujarat,23.09,23.86
VH15555,DR15555,Hyundai Creta,2026,2755,Manual,2537,1896,14.49,56.3,85,15,Moderate,70,108.82,Petrol (E0),52,24,Low,Maharashtra,13.44,13.7
VH15556,DR15556,Skoda Slavia,2021,1373,Manual,51585,2838,20.12,31.3,50,50,Calm,65,101.49,E10 Blend,44,19,Medium,Delhi,19.35,20.1
VH15557,DR15557,Skoda Slavia,2012,1199,Manual,126432,2671,20.87,58.2,21,79,Moderate,77,111.82,Petrol (E0),68,33,Low,Rajasthan,19.76,19.4
VH15558,DR15558,Maruti Suzuki S-Presso,2020,1000,Manual,58266,1254,20.22,7.9,42,58,Aggressive,64,100.63,Petrol (E0),56,22,Low,Gujarat,19.71,19.6
VH15559,DR15559,Tata Altroz,2023,1373,Automatic,32554,2441,19.38,39.1,64,36,Moderate,47,110,Petrol (E0),33,22,Low,Rajasthan,18.51,18.6
VH15560,DR15560,Maruti Suzuki Fronx,2019,1199,Manual,58443,1969,18.86,39,67,33,Moderate,52,110.39,E10 Blend,74,33,Low,Maharashtra,17.27,17.1
VH15561,DR15561,Mahindra Bolero,2014,2179,Automatic,114402,2696,15.38,43.2,57,43,Calm,45,99.57,E10 Blend,76,21,Medium,Uttar Pradesh,14.97,15.38
